"                           Fridge  Electric space heater
2022-01-04 00:00:00-05:00     0.0                    0.0
2022-01-04 00:00:03-05:00     0.0                    0.0
2022-01-04 00:00:06-05:00     0.0                    0.0
2022-01-04 00:00:09-05:00     0.0                    0.0
2022-01-04 00:00:12-05:00     0.0                    0.0
2022-01-04 00:00:15-05:00     0.0                    0.0
2022-01-04 00:00:18-05:00     0.0                    0.0
2022-01-04 00:00:21-05:00     0.0                    0.0
2022-01-04 00:00:24-05:00     0.0                    0.0
2022-01-04 00:00:27-05:00     0.0                    0.0
2022-01-04 00:00:30-05:00     0.0                    0.0
2022-01-04 00:00:33-05:00     0.0                    0.0
2022-01-04 00:00:36-05:00     0.0                    0.0
2022-01-04 00:00:39-05:00     0.0                    0.0
2022-01-04 00:00:42-05:00     0.0                    0.0
2022-01-04 00:00:45-05:00     0.0                    0.0
2022-01-04 00:00:48-05:00     0.0                    0.0
2022-01-04 00:00:51-05:00     0.0                    0.0
2022-01-04 00:00:54-05:00     0.0                    0.0
2022-01-04 00:00:57-05:00     0.0                    0.0
2022-01-04 00:01:00-05:00     0.0                    0.0
2022-01-04 00:01:03-05:00     0.0                    0.0
2022-01-04 00:01:06-05:00     0.0                    0.0
2022-01-04 00:01:09-05:00     0.0                    0.0
2022-01-04 00:01:12-05:00     0.0                    0.0"
